sourceTaxonId	sourceTaxonName	interactionTypeId	interactionTypeName	targetTaxonId	targetTaxonName	localityId	localityName	decimalLatitude	decimalLongitude	observationDateTime	referenceDoi	referenceCitation
EOL:723915	Anastrepha fraterculus (Wiedemann)	RO:0002444	Parasite of		Doryctobracon areolatus (Szepligeti)							
EOL:723915	Anastrepha fraterculus (Wiedemann)	RO:0002444	Parasite of		Doryctobracon brasiliensis (Szepligeti)							
EOL:723915	Anastrepha fraterculus (Wiedemann)	RO:0002444	Parasite of		Doryctobracon fluminensis (Costa Lima)							
EOL:723915	Anastrepha fraterculus (Wiedemann)	RO:0002444	Parasite of		Doryctobracon zeteki (Muesebeck)							
EOL:723915	Anastrepha fraterculus (Wiedemann)	RO:0002444	Parasite of		Opius anastrephae Viereck							
EOL:723915	Anastrepha fraterculus (Wiedemann)	RO:0002444	Parasite of		Opius bellus Gahan							
EOL:724140	Anastrepha interrupta Stone	RO:0002444	Parasite of		Doryctobracon anastrephilus (Marsh)							
EOL:725243	Anastrepha consobrina (Loew)	RO:0002444	Parasite of		Doryctobracon areolatus (Szepligeti)							
EOL:725245	Anastrepha ludens (Loew)	RO:0002444	Parasite of		Doryctobracon areolatus (Szepligeti)							
EOL:725245	Anastrepha ludens (Loew)	RO:0002444	Parasite of		Doryctobracon crawfordi (Viereck)							
EOL:725405	Anastrepha benjamini Costa Lima	RO:0002444	Parasite of		Doryctobracon areolatus (Szepligeti)							
EOL:726792	Toxotrypana curvicauda Gerstacker	RO:0002444	Parasite of		Doryctobracon toxotrypanae (Muesebeck)							
EOL:79415	Anastrepha sp.	RO:0002444	Parasite of		Doryctobracon capsicola (Muesebeck)							
EOL:79415	Anastrepha sp.	RO:0002444	Parasite of		Doryctobracon tucumanus (Turica & Mallo)							
EOL:79415	Anastrepha sp.	RO:0002444	Parasite of		Opius hirtus Fischer							
	Rhagoletis boycei Cresson	RO:0002444	Parasite of		Biosteres juglandis (Muesebeck)							
	Rhagoletis juglandis Cresson	RO:0002444	Parasite of		Biosteres juglandis (Muesebeck)							
	Anastrepha suspensa (Loew)	RO:0002444	Parasite of		Biosteres longicaudatus Ashmead							
	Ceratitis capitata (Wiedemann)	RO:0002444	Parasite of		Biosteres longicaudatus Ashmead							
	Dacus ciliatus Loew*	RO:0002444	Parasite of		Biosteres longicaudatus Ashmead							
	Dacus cucurbitae Coquillett**	RO:0002444	Parasite of		Biosteres longicaudatus Ashmead							
	Dacus curvipennis (Froggatt)**	RO:0002444	Parasite of		Biosteres longicaudatus Ashmead							
	Dacus dorsalis Hendel***	RO:0002444	Parasite of		Biosteres longicaudatus Ashmead							
	Dacus frauenfeldi Schiner*	RO:0002444	Parasite of		Biosteres longicaudatus Ashmead							
	Dacus incisus Walker*	RO:0002444	Parasite of		Biosteres longicaudatus Ashmead							
	Dacus latifrons (Hendel)*	RO:0002444	Parasite of		Biosteres longicaudatus Ashmead							
	Dacus limbifer (Bezzi)*	RO:0002444	Parasite of		Biosteres longicaudatus Ashmead							
	Dacus nubilus Hendel*	RO:0002444	Parasite of		Biosteres longicaudatus Ashmead							
	Dacus pedestris (Bezzi)*	RO:0002444	Parasite of		Biosteres longicaudatus Ashmead							
	Dacus psidii (Froggatt)*	RO:0002444	Parasite of		Biosteres longicaudatus Ashmead							
	Dacus tryoni (Froggatt)*	RO:0002444	Parasite of		Biosteres longicaudatus Ashmead							
	Dacus zonatus (Saunders)*	RO:0002444	Parasite of		Biosteres longicaudatus Ashmead							
	Procecidochares utilis Stone	RO:0002444	Parasite of		Biosteres longicaudatus Ashmead							
	Myoleja limata (Coquillett)	RO:0002444	Parasite of		Biosteres melleus (Gahan)							
	Rhagoletis cingulata (Loew)	RO:0002444	Parasite of		Biosteres melleus (Gahan)							
	Rhagoletis mendax Curran	RO:0002444	Parasite of		Biosteres melleus (Gahan)							
	Rhagoletis pomonella (Walsh)	RO:0002444	Parasite of		Biosteres melleus (Gahan)							
	Rhagoletis suavis (Loew)	RO:0002444	Parasite of		Biosteres melleus Gahan							
	Ceratitis capitata (Wiedemann)	RO:0002444	Parasite of		Biosteres oophilus (Fullaway)							
	Zonosemata electa (Say)	RO:0002444	Parasite of		Biosteres sanguineus (Ashmead)							
	Zonosemata vittigera (Coquillett)	RO:0002444	Parasite of		Biosteres sanguineus (Ashmead)							
	Rhagoletis completa Cresson	RO:0002444	Parasite of		Biosteres sublaevis Wharton							
	Anastrepha obliqua (Macquart)	RO:0002444	Parasite of		Biosteres tryoni (Cameron)							
	Ceratitis capitata (Wiedemann)	RO:0002444	Parasite of		Biosteres tryoni (Cameron)							
	Dacus dorsalis Hendel***	RO:0002444	Parasite of		Biosteres tryoni (Cameron)							
	Dacus passiflorae (Froggatt)*	RO:0002444	Parasite of		Biosteres tryoni (Cameron)							
	Dacus tryoni (Froggatt)*	RO:0002444	Parasite of		Biosteres tryoni (Cameron)							
	Dacus xanthodes (Broun)*	RO:0002444	Parasite of		Biosteres tryoni (Cameron)							
	Eutreta xanthochaeta Aldrich	RO:0002444	Parasite of		Biosteres tryoni (Cameron)							
	Procecidochares utilis Stone	RO:0002444	Parasite of		Biosteres tryoni (Cameron)							
	Rhagoletis completa Cresson	RO:0002444	Parasite of		Biosteres tryoni (Cameron)							
	Rhagoletis pomonella (Walsh)	RO:0002444	Parasite of		Diachasma alloeum (Muesebeck)							
	Rhagoletis cingulata (Loew)	RO:0002444	Parasite of		Diachasma ferrugineum (Gahan)							
	Rhagoletis fausta (Osten Sacken)	RO:0002444	Parasite of		Diachasma ferrugineum (Gahan)							
	Rhagoletis pomonella (Walsh)	RO:0002444	Parasite of		Diachasma ferrugineum (Gahan)							
	Rhagoletis indifferens Curran	RO:0002444	Parasite of		Diachasma muliebre (Muesebeck)							
	Anastrepha suspensa (Loew)	RO:0002444	Parasite of		Doryctobracon anastrephilus (Marsh)							
	Anastrepha montei Costa Lima	RO:0002444	Parasite of		Doryctobracon areolatus (Szepligeti)							
	Anastrepha obliqua (Macquart)	RO:0002444	Parasite of		Doryctobracon areolatus (Szepligeti)							
